id;catalogNumber;description;gpsLength;gpsWidth;gpsLengthPosition;gpsWidthPosition;indexLevel
0;15;5GTG9;45.0;97.0;S;E;0
2;55;QA5KR;30.0;26.0;S;E;1
1;92;VBCTG;49.0;98.0;S;E;1
4;5;PUTCS;28.0;7.0;S;E;2
3;8;UAC6I;39.0;51.0;S;E;2
9;20;PK1A5;90.0;52.0;S;E;2
198;1;UVSKJ;66.0;99.0;S;W;2
28;18;Z9PG1;2.0;15.0;S;E;3
83;92;46F5N;34.0;23.0;N;E;3
5;52;EK2RC;18.0;73.0;S;E;3
7;96;TZJ24;45.0;47.0;S;E;3
10;26;Y9PLJ;74.0;92.0;S;E;3
12;2;44MOI;92.0;65.0;N;E;3
215;90;OMK7Q;55.0;99.0;N;E;3
467;78;7TRHG;89.0;99.0;S;E;3
39;89;WJ75R;10.0;10.0;S;E;4
47;69;8RKLP;10.0;16.0;N;E;4
99;24;FQ5BT;45.0;21.0;S;E;4
361;26;UV86Q;41.0;26.0;S;E;4
13;43;8F23I;28.0;67.0;S;E;4
6;49;6OGI3;11.0;78.0;S;E;4
88;43;W1WC3;44.0;33.0;S;E;4
17;11;UYA00;43.0;94.0;N;E;4
14;10;7VLK2;46.0;38.0;N;E;4
107;66;M1XRW;60.0;96.0;S;E;4
56;89;R1FK8;91.0;27.0;N;E;4
29;56;CNJ5L;93.0;92.0;S;E;4
318;28;HEJQK;55.0;99.0;N;E;4
702;82;0LUUQ;89.0;99.0;S;E;4
144;47;SCCSY;10.0;8.0;S;E;5
65;94;61G74;28.0;3.0;S;E;5
237;55;JQ67U;9.0;22.0;S;E;5
72;43;F8YYM;20.0;26.0;N;E;5
118;45;JFMCV;30.0;4.0;S;E;5
453;17;BLYDT;41.0;26.0;S;E;5
725;89;QHSQJ;45.0;25.0;N;E;5
22;11;ES2SX;16.0;32.0;S;E;5
15;11;3WSE4;32.0;66.0;S;E;5
159;42;H46B4;7.0;76.0;S;E;5
8;3;0PYWB;13.0;97.0;S;E;5
151;58;6DTPR;41.0;30.0;N;E;5
506;20;ILC98;45.0;47.0;S;E;5
19;78;ARL5O;43.0;72.0;S;E;5
26;67;WOI49;45.0;97.0;S;E;5
93;9;PTL67;46.0;89.0;S;E;5
16;18;LMMVC;78.0;66.0;S;E;5
458;59;C8A2X;49.0;94.0;S;E;5
190;67;QYLLE;61.0;94.0;N;E;5
164;77;DDJKG;91.0;50.0;S;E;5
63;40;2X7ZN;96.0;55.0;S;E;5
109;73;63K9B;91.0;95.0;S;E;5
33;50;K30RB;96.0;82.0;S;E;5
1119;17;H2UQ3;55.0;99.0;N;E;5
1049;28;WUWNA;66.0;99.0;S;W;5
1874;2;MOE9G;89.0;99.0;S;E;5
1583;75;0FO5N;99.0;99.0;S;E;5
235;86;5IM0C;10.0;4.0;S;E;6
213;34;7VAZR;8.0;14.0;S;E;6
69;62;QMVZS;24.0;2.0;N;E;6
76;65;MBIJL;19.0;14.0;S;E;6
353;27;0XWVD;10.0;16.0;N;E;6
468;41;4Q35C;9.0;24.0;N;E;6
180;73;VRN4A;17.0;17.0;S;E;6
447;23;7RF53;35.0;2.0;S;E;6
121;1;S0B02;38.0;19.0;S;E;6
534;16;9N4ZO;37.0;25.0;S;E;6
910;34;1NHG9;45.0;25.0;N;E;6
46;11;81DT5;24.0;29.0;S;E;6
35;82;U2Q52;15.0;48.0;S;E;6
23;84;XULQ8;37.0;28.0;S;E;6
59;17;O2XV8;36.0;73.0;S;E;6
228;93;9VIPY;7.0;76.0;S;E;6
178;80;M7LYS;3.0;95.0;S;E;6
11;4;KS4RW;32.0;80.0;S;E;6
711;0;C1ZYS;32.0;99.0;S;E;6
163;66;C87F2;43.0;29.0;S;E;6
226;63;DGF3Z;44.0;37.0;S;E;6
930;75;R2RBP;45.0;47.0;S;E;6
142;14;RSF96;43.0;55.0;S;E;6
70;55;WYCJA;43.0;94.0;N;E;6
319;90;WTFDS;44.0;66.0;S;E;6
457;66;H6USK;46.0;89.0;S;E;6
373;37;H55H9;46.0;91.0;S;E;6
21;13;T3CE9;51.0;51.0;S;W;6
20;95;12B3W;70.0;73.0;S;W;6
644;54;BMR39;57.0;93.0;S;E;6
777;59;1GA05;49.0;98.0;S;E;6
249;86;AD6QO;63.0;94.0;S;E;6
208;6;OA9ZA;78.0;97.0;S;E;6
253;3;6WAAT;91.0;1.0;S;E;6
96;38;DC4IK;93.0;17.0;S;E;6
89;26;X1JEH;97.0;61.0;S;E;6
131;44;H657H;93.0;92.0;S;E;6
127;69;J8S7K;99.0;74.0;S;E;6
54;68;NEPT1;97.0;97.0;N;E;6
1387;99;3TL32;55.0;99.0;N;E;6
2434;97;GC5JM;89.0;99.0;S;E;6
3084;51;I1L3E;99.0;99.0;S;E;6
366;54;35TF7;1.0;2.0;S;W;7
704;54;69H1K;5.0;9.0;S;E;7
