id;catalogNumber;description;gpsLength;gpsWidth;gpsLengthPosition;gpsWidthPosition;indexLevel
0;396438;4OX7JGBQAA9IFA7OWC;66.0;17.0;S;W;0
1;421422;MVAQYIBDFPU78HXJGJ;48.0;78.0;N;W;1
4;484722;MMWZU5W7BYW0S6G8I5;84.0;35.0;S;E;1
3;307276;ETRDZEC6Z03JAAXN89;57.0;70.0;S;W;2
2;155828;55U9PQIJZ0H4SV3UQU;4.0;96.0;N;E;2
7;336181;MRIJ6RWQ331VQ6LI7X;3.0;3.0;N;E;3
5;99595;HXOANB7CP4WYF171XA;40.0;95.0;N;W;3
8;430893;PM5OWOKBDGC0HU3GQR;29.0;56.0;N;E;4
6;189340;TW27GXCPD6E1BIIRHA;21.0;94.0;N;E;4
9;383102;GDWYFE6ROHF1O6XJ17;32.0;75.0;S;W;5
