id;catalogNumber;description;gpsLength;gpsWidth;gpsLengthPosition;gpsWidthPosition;indexLevel
5000;80;W64O7;99.0;74.0;S;E;0
5001;80;J363I;30.0;4.0;S;E;1
5006;47;FSO6C;17.0;1.0;S;W;2
5002;34;3E3ZS;20.0;86.0;S;E;2
5041;40;EUYTR;7.0;1.0;S;E;3
5020;30;FAHXK;64.0;3.0;S;E;3
5010;57;FRFM8;7.0;28.0;S;E;3
5003;64;1I5WK;57.0;91.0;N;E;3
5972;58;PUZRL;7.0;1.0;S;E;4
5210;14;XBP9R;1.0;2.0;S;W;4
5022;1;UPT84;53.0;1.0;S;E;4
5124;27;F33V1;87.0;4.0;S;E;4
5023;34;RKAZZ;15.0;25.0;S;E;4
5011;23;TNW1I;7.0;78.0;S;E;4
5004;73;RE0NP;29.0;34.0;S;E;4
5015;52;47QB6;91.0;95.0;S;E;4
6767;83;D0PKE;7.0;1.0;S;E;5
6465;25;AQ4BE;17.0;1.0;S;W;5
6055;83;P67L2;1.0;2.0;S;W;5
5229;30;GZ1KK;10.0;4.0;S;E;5
5139;47;XRY34;53.0;1.0;S;E;5
5067;92;P25CI;95.0;1.0;S;E;5
5245;87;YXNBL;45.0;4.0;S;E;5
5674;95;E06DF;98.0;4.0;S;E;5
5081;13;320AZ;6.0;13.0;S;E;5
5026;26;MLDFF;17.0;22.0;S;E;5
5021;55;TQAJA;3.0;71.0;S;E;5
5034;37;TMGTI;16.0;36.0;S;E;5
5037;65;ULCHT;25.0;68.0;S;E;5
5005;22;EMGRL;41.0;28.0;S;E;5
5017;3;X8JS4;55.0;95.0;S;E;5
5173;99;WVSU1;97.0;97.0;N;E;5
8958;70;KTH6T;7.0;1.0;S;E;6
6656;94;DI87L;17.0;1.0;S;W;6
7957;20;6W1P1;1.0;2.0;S;W;6
5887;83;335WL;11.0;2.0;S;E;6
5155;10;23ESF;49.0;1.0;S;E;6
5643;34;Z97IN;35.0;2.0;S;E;6
5079;66;7NA98;91.0;1.0;S;E;6
5323;12;MTF5L;77.0;2.0;S;E;6
5446;74;H07KA;52.0;4.0;S;E;6
6075;89;TYN63;98.0;4.0;S;E;6
5092;82;PYE2C;5.0;9.0;S;E;6
5096;9;4J9IV;9.0;22.0;S;E;6
5352;0;EFQIM;20.0;10.0;N;E;6
5065;53;UNG54;16.0;24.0;S;E;6
5048;24;BDCXR;3.0;56.0;S;E;6
5029;69;JM59W;3.0;81.0;S;E;6
5105;84;MWE1E;12.0;35.0;S;E;6
5045;3;IPDNR;11.0;45.0;S;W;6
5039;62;IYCSD;28.0;17.0;S;E;6
5084;12;J5MHK;21.0;82.0;S;E;6
5007;21;QR2SG;40.0;22.0;S;E;6
5008;8;ZS5OT;68.0;46.0;S;E;6
5019;62;0YD6B;85.0;94.0;S;E;6
5058;37;JWZ2I;66.0;97.0;S;E;6
5354;68;S27W6;95.0;94.0;N;E;6
5731;19;2HV9J;99.0;99.0;S;E;6
9105;88;Y39MV;7.0;1.0;S;E;7
6690;25;2PMG4;17.0;1.0;S;W;7
8021;53;4VWHZ;1.0;2.0;S;W;7
6014;47;G1R05;10.0;4.0;S;E;7
6787;18;1S0FR;13.0;2.0;S;E;7
5353;36;SU701;26.0;1.0;S;E;7
7908;39;2QQO9;53.0;1.0;S;E;7
5777;54;VLPCH;24.0;2.0;N;E;7
5671;76;8ELBH;48.0;3.0;S;E;7
5363;76;U1BYC;59.0;1.0;S;E;7
8854;90;BD13W;95.0;1.0;S;E;7
5337;79;56JDN;77.0;2.0;S;E;7
5415;9;BFPQA;87.0;2.0;S;E;7
5471;82;IRXY4;35.0;4.0;S;E;7
5488;17;4P57U;56.0;4.0;S;E;7
6672;94;W8CLJ;98.0;4.0;S;E;7
5470;7;W7OSH;3.0;6.0;S;E;7
5131;88;2R8N7;6.0;13.0;S;E;7
5143;44;9X2LM;9.0;28.0;S;E;7
5192;19;YPPII;11.0;23.0;S;E;7
5391;10;NU36X;17.0;15.0;S;W;7
6479;79;VYJ9Z;16.0;24.0;S;E;7
5158;55;33PSM;20.0;26.0;N;E;7
5060;73;IUQYL;1.0;56.0;S;E;7
5083;9;M3SU6;4.0;63.0;S;E;7
5133;85;U4B60;3.0;79.0;S;E;7
5030;24;9HQTR;4.0;93.0;S;E;7
5270;23;6OH1B;8.0;30.0;S;E;7
5157;75;CCCLH;18.0;34.0;S;E;7
5061;96;6G0CM;10.0;80.0;N;E;7
5046;23;SMHSN;12.0;54.0;S;E;7
5074;79;5TMUB;26.0;56.0;S;E;7
5187;55;CFT99;29.0;61.0;S;E;7
5191;10;TUOU9;21.0;88.0;S;E;7
5156;88;3WM81;22.0;76.0;S;E;7
5094;85;8X2JW;31.0;12.0;S;E;7
5036;19;L1SLX;55.0;27.0;S;E;7
5009;28;PL5UU;44.0;33.0;S;E;7
5014;18;Y3OZO;85.0;49.0;S;E;7
5054;28;7G0CR;43.0;94.0;N;E;7
5093;48;ECA92;91.0;93.0;S;E;7
5102;2;9THH3;24.0;99.0;S;E;7
5251;27;POUFV;89.0;99.0;S;E;7
5764;95;811MH;95.0;96.0;S;E;7
5636;66;VIBSW;99.0;93.0;S;E;7
6362;91;KHV86;99.0;99.0;S;E;7
9881;51;49YJE;7.0;1.0;S;E;8
7763;12;Z2A9S;17.0;1.0;S;W;8
9223;29;0YB70;1.0;2.0;S;W;8
6099;5;ATPRI;10.0;4.0;S;E;8
7961;19;VGDXX;13.0;2.0;S;E;8
5724;14;JV58N;18.0;1.0;S;E;8
9036;35;N7P3M;53.0;1.0;S;E;8
6498;95;PCTM1;24.0;2.0;N;E;8
7568;46;PYHQ5;28.0;3.0;S;E;8
5988;88;OKZOZ;45.0;2.0;S;E;8
5364;17;L6FDX;70.0;1.0;S;E;8
10906;40;RDCL2;95.0;1.0;S;E;8
7130;75;QX6OZ;66.0;2.0;S;E;8
5428;29;B3YMP;74.0;3.0;S;E;8
5575;23;8DHIX;87.0;2.0;S;E;8
5620;6;46I1M;92.0;3.0;S;E;8
5696;87;JFESB;20.0;4.0;S;W;8
5730;74;8O7MP;87.0;4.0;S;E;8
7412;52;T6WS4;98.0;4.0;S;E;8
5808;51;3YK29;3.0;6.0;S;E;8
5525;95;FODOG;2.0;11.0;S;E;8
5312;54;4SFF6;14.0;13.0;S;E;8
5160;13;Z8MG0;2.0;17.0;S;E;8
5326;68;AT35N;10.0;16.0;N;E;8
5494;63;VH850;15.0;28.0;S;E;8
5469;42;2U4VE;20.0;8.0;S;E;8
6469;24;Z7OMZ;17.0;17.0;S;E;8
6537;3;H0JFC;16.0;24.0;S;E;8
5260;98;WZDWF;20.0;24.0;S;E;8
5217;72;EPHGD;20.0;28.0;S;E;8
5185;88;KN3M8;1.0;46.0;S;E;8
5107;20;JR3V2;3.0;71.0;S;E;8
5198;43;53EYR;4.0;34.0;S;E;8
5747;61;J4C1E;4.0;67.0;S;E;8
5395;28;K7M40;3.0;79.0;S;E;8
5146;0;JWRP9;3.0;81.0;S;E;8
5109;98;6TDWR;7.0;78.0;S;E;8
5193;97;UKPFJ;7.0;98.0;S;E;8
5478;17;9UTFK;8.0;30.0;S;E;8
5418;62;7RJ98;12.0;33.0;S;E;8
5293;89;P7SYH;16.0;32.0;S;E;8
5992;61;LZ88W;20.0;36.0;S;E;8
5069;9;51QWH;8.0;43.0;N;E;8
5085;79;TG09Z;10.0;90.0;S;E;8
5072;85;5X3FM;12.0;43.0;S;E;8
5047;97;5SOAG;12.0;58.0;S;E;8
5098;36;9LYI5;26.0;50.0;S;E;8
5075;1;V8N1O;25.0;60.0;S;E;8
5301;85;P3MFF;29.0;59.0;S;E;8
5517;36;FCSJ9;29.0;63.0;N;E;8
5223;29;0BHE4;21.0;88.0;S;E;8
6726;92;G5YSA;21.0;90.0;S;E;8
5739;26;QQQX8;28.0;75.0;S;E;8
5212;97;HH1ND;24.0;77.0;S;E;8
5166;89;5ZW60;39.0;5.0;S;E;8
5205;46;3D0H4;32.0;22.0;S;E;8
5049;99;7LTQK;49.0;7.0;S;E;8
5291;26;WM9HB;96.0;28.0;S;E;8
5082;82;Q5R2Z;30.0;30.0;S;E;8
5012;43;YFLAW;40.0;49.0;S;E;8
5025;42;7P64S;97.0;47.0;S;W;8
5016;62;3NNOQ;77.0;84.0;S;E;8
5066;86;VDJTP;42.0;92.0;S;E;8
5236;81;1P88I;45.0;95.0;S;W;8
5165;60;DU2NZ;87.0;93.0;S;E;8
5745;55;E50W7;91.0;95.0;S;E;8
5123;16;BBORY;42.0;96.0;S;E;8
5305;64;BITA3;78.0;97.0;S;E;8
